reaction_split,split_type,split_level,Symptom_ID,Symptom,Observation,Hypothesis,Experiment,additional_details,representative_entries,source_json,n_entries
Amide hydrolysis,reaction_class,3,4,low conversion / side-product buildup,"Stagnant conversion (< 80 %) or appearance of a specific impurity (hydroxy-amide, per-acid by-product) that grows with scale.","optimization_of_acid_or_base_stoichiometry, change_of_primary_reagent, change_of_additive, optimization_of_reagent_stoichiometry. 
Increasing H₂O₂ equivalents suppresses hydroxy-amide (16798 -> 16798 solution), adjusting base concentration improves conversion (17258), and adding scavengers or buffers can limit side-reactions.","A factorial DoE varied H₂O₂ (2-6 equiv) and LiOH (1.2-2.0 equiv) while monitoring hydroxy-amide impurity by HPLC. The optimum (4.6 equiv H₂O₂, 1.6 equiv LiOH) gave > 99 % conversion with <= 5 % impurity (16793).",Impurity profiles are sensitive to water content; precise control of solvent water concentration (9.5 M) is required (16969). Real-time HPLC can flag impurity rise early.,"16798, 16794, 17258, 16793, 16799",scaleup_generalized_workflow_reaction_class_Amide_hydrolysis_runreaction_class_r24.json,96
Amide hydrolysis,reaction_class,3,5,solid precipitation / clogging,"Formation of fine solids or slurries that block filters, pumps, or cause reactor fouling (17256, 17260, 7615).","clogging_or_fouling_mitigation, slurry_handling_or_particle_size_optimization, improved_mixing_or_impeller_design, phase_behavior_or_biphasic_system_optimization. 
Diluting the mixture before filtration, adding a co-solvent (MeOH) to keep solids suspended, and installing inline filters prevent blockage.","A scale-up trial added 20 % v/v MeOH to the hydrolysate before filtration and employed a 10 µm mesh filter downstream of the reactor. Filtration time dropped from > 2 h to < 30 min, and no fouling was observed over multiple batches (17256).",Temperature control during antisolvent addition (maintain 45-50 °C) reduces sudden nucleation (20900). Monitoring slurry particle size with laser diffraction can guide solvent addition rates.,"17256, 17260, 7615, 7614, 20900",scaleup_generalized_workflow_reaction_class_Amide_hydrolysis_runreaction_class_r24.json,96
Bromination,reaction_class,3,1,temperature spike,"Sudden, uncontrolled rise in reactor temperature (hot-spot) during bromine or NBS addition.","temperature_setpoint_or_temperature_ramp_optimization, change_of_addition_order_or_feed_profile, improved_heat_transfer_or_temperature_control_hardware - controlling the addition rate, lowering the set-point, and improving heat removal will keep the temperature rise within the design envelope and prevent hot-spots.","- Conduct calorimetric studies to quantify the heat-release profile. 
- Implement semi-batch feeding of bromine/NBS (e.g. 5-10 min aliquots) while actively cooling with a jacket capable of >= 2 kW removal. 
- Verify temperature stability with in-line thermocouples; repeat at pilot-scale (~ 100 kg) to confirm no temperature excursions > 5 °C.","Hot-spot severity correlates with reagent concentration and reactor geometry; lower reagent concentration or use of a co-solvent can further dampen the exotherm. For photochemical brominations, LED-generated heat must also be managed by water-cooled panels.","5560, 8521, 14194, 15678, 17030, 17032, 14195, 18153, 21751, 21753",scaleup_generalized_workflow_reaction_class_Bromination_runreaction_class_r16.json,156
Bromination,reaction_class,3,2,mixing limitation,"Formation of slurries, solid NBS suspensions, or emulsions that give uneven mixing, localized over-bromination, or poor mass-transfer.","improved_mixing_or_impeller_design, solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition - redesign impeller geometry, increase agitation speed, or switch to a solvent that fully dissolves solid reagents to obtain a homogeneous reaction mixture.","- Test NBS solutions (e.g. 6 wt % in MeCN) versus solid addition in a 4 L reactor equipped with a downward-impeller stirrer at >= 800 rpm. 
- Evaluate slurry-feed pumps for continuous dosing of bromine/NBS. 
- Perform DoE on solvent/cosolvent ratios (MeCN/EtOAc, MeCN/DMSO) to achieve complete dissolution at the target concentration (~ 0.2 M). 
- Scale to kilogram batch and monitor conversion uniformity by in-process sampling.","Mixing problems are amplified when the reaction is highly exothermic; thus, the mixing solution should be paired with temperature control. For biphasic systems (e.g., aqueous HBr/organic substrate) a slug-flow or high-shear pump may be required.","552, 5561, 7414, 7411, 5562, 7412, 7413, 7415",scaleup_generalized_workflow_reaction_class_Bromination_runreaction_class_r16.json,156
Bromination,reaction_class,3,3,reagent-source variability,"Batch-to-batch fluctuations in conversion or impurity levels when using reagents from different suppliers or with differing impurity profiles (e.g., NBS containing variable Br₂/HBr).","feedstock_or_supplier_variability_management, optimization_of_reagent_stoichiometry, change_of_additive - qualify suppliers, set tighter impurity specifications, and adjust stoichiometry or add chelating additives to buffer the effect of impurities.","- Perform a small-scale qualification test for each new NBS lot (e.g., 5 g reaction, monitor conversion). 
- Use kinetic modeling to define a conservative NBS equivalence (e.g., 1.40 eq) that ensures > 98 % conversion for both high- and low-Br₂ batches. 
- Add 5 mol % citric-acid (or NTA/EDTA) to chelate trace Cu that slows photobromination. 
- Document acceptance criteria and implement a lot-release protocol.","When a critical impurity (e.g., Cu) is identified, the additive strategy can be more cost-effective than re-qualifying the supplier. For very reactive reagents (Br₂), consider generating bromine in-situ to standardize concentration.","17362, 16209, 17360, 17363, 17361, 17359",scaleup_generalized_workflow_reaction_class_Bromination_runreaction_class_r16.json,156
Bromination,reaction_class,3,4,gas evolution / pressure rise,"Rapid generation of gaseous HBr or Br₂ leading to increased reactor head-space pressure, venting issues, or bubbling that disturbs flow rates.","pressure_or_gas_headspace_optimization, improved_quench_or_neutralization, change_of_addition_order_or_feed_profile - design reactors with appropriate venting, use gas-scrubbing (NaOH, Na₂S₂O₃), and add reagents in a way that limits instantaneous gas formation.","- Install a PTFE-lined CSTR with a vented head-space and a downstream NaOH scrubber for HBr. 
- Switch to a semi-batch addition where the organic substrate is added slowly to a pre-cooled Br₂/HBr mixture, keeping the temperature < 35 °C (as in entry 21151). 
- Measure pressure transients with a pressure transducer; adjust feed rates until pressure rise stays below design limit (e.g., 0.5 bar).","For photochemical brominations, the gas-generation step may be coupled with the light source; ensure that the reactor material is compatible with HBr (e.g., PTFE, glass). In batch reactors, use a nitrogen blanket to displace evolved gases safely.","18151, 18152, 18153",scaleup_generalized_workflow_reaction_class_Bromination_runreaction_class_r16.json,156
Bromination,reaction_class,3,5,emulsion formation,"Persistent oil-in-water emulsions during work-up or quench, causing phase-separation failures and product loss.","solvent_change_for_solubility, phase_behavior_or_biphasic_system_optimization, improved_quench_or_neutralization - change the work-up solvent system to break emulsions, adjust pH, or add salts/anti-emulsifiers to promote clear phase separation.","- Replace the aqueous work-up with a MeCN-water mixture (4:1) that precipitates the product and collapses the emulsion (as in entry 7415). 
- Add a brine wash or a small amount of sodium chloride to increase ionic strength and break the emulsion. 
- Test alternative quench agents (NaOH instead of KOH) that give cleaner phase splits (entry 21194). 
- Verify recovery by measuring product concentration in both phases after separation.","The choice of quench (e.g., Na₂S₂O₃ for bromine) can also affect emulsion stability; a dilute quench at low temperature often minimizes emulsion formation. For large-scale reactors, a continuous centrifuge can be employed if emulsions persist.","15456, 20285, 20284, 20283",scaleup_generalized_workflow_reaction_class_Bromination_runreaction_class_r16.json,156
Bromo Buchwald-Hartwig amination,reaction_class,3,1,Heterogeneous slurry / viscous mixture,Reaction mixture becomes a thick slurry or highly viscous suspension (often after addition of solid base or formation of inorganic salts).,"solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, improved_mixing_or_impeller_design, change_of_base - switching to a liquid, soluble base (e.g., DBU) or adding a co-solvent reduces slurry formation; redesigning agitation or increasing solvent volume restores homogeneous mixing.","A DoE was run varying (i) base (NaOtBu -> DBU), (ii) solvent composition (toluene -> toluene/MeCN 1:1), and (iii) impeller speed (400 -> 800 rpm). Conversions were measured at 1 kg scale; the optimal combination (DBU, 1:1 MeCN/toluene, 800 rpm) gave >95 % conversion with a clear solution.","Viscosity problems are especially acute in flow (tubular reactors) where solid precipitation can cause clogging. Even in batch, high-loading solid bases can generate ""slurry"" that settles, leading to hot spots. Choice of base and solvent must also respect substrate stability.","5886, 431, 10446, 10459, 5885, 5888, 6590, 6591, 6592, 6593",scaleup_generalized_workflow_reaction_class_Bromo_Buchwald-Hartwig_amination_runreaction_class_r14.json,186
Bromo Buchwald-Hartwig amination,reaction_class,3,2,Pressure spikes / clogging in continuous flow,"Sudden pressure excursions, back-pressure regulator trips, or tube blockage when the reaction is run in flow.","pressure_or_gas_headspace_optimization, clogging_or_fouling_mitigation, phase_behavior_or_biphasic_system_optimization, improved_mixing_or_impeller_design - enlarge tubing or add a vented back-pressure regulator, use ultrasonic agitation, or switch to a biphasic solvent system that keeps salts dissolved in the aqueous phase.","A pilot-scale flow of the Cu-catalysed amination (aryl bromide + amine) was run in 3 mm ID tubing with a vented BPR (1 bar). Parallel runs compared (a) original 10 mm ID tubing, (b) 7.94 mm ID tubing, and (c) 7.94 mm ID plus an inline ultrasonic bath. Only the ultrasonic-assisted run avoided blockage; pressure remained <=0.8 bar throughout 10 h operation.",Clogging is often aggravated by temperature ramps that precipitate salts; maintaining a constant temperature and using a solvent/antisolvent pair that solubilises inorganic by-products is a robust mitigation.,"19855, 9097, 6592, 9098, 13668, 13671, 13672",scaleup_generalized_workflow_reaction_class_Bromo_Buchwald-Hartwig_amination_runreaction_class_r14.json,186
Bromo Buchwald-Hartwig amination,reaction_class,3,3,Temperature runaway / hot-spot formation,"Rapid temperature rise (ΔT > 30 °C) or hot spots observed during exothermic coupling, sometimes leading to uncontrolled reaction or decomposition.","temperature_setpoint_or_temperature_ramp_optimization, thermal_runaway_mitigation_or_quench_safety_modification, improved_heat_transfer_or_temperature_control_hardware - implement controlled temperature ramps, external cooling jackets, or staged addition of reagents to spread the heat release.","A calorimetric study quantified the heat of reaction (-135 kJ mol⁻¹). The batch reactor was equipped with a jacket capable of 5 kW cooling. A ramp from 0 °C to 25 °C over 2 h was programmed before holding at 50 °C. Temperature spikes were eliminated, and product purity improved from 92 % to >98 % with no Pd black formation.","In flow, the same principle is achieved by reducing residence time or increasing the reactor surface-to-volume ratio (larger diameter tubing). Monitoring with inline IR thermography helps detect early hot spots.","432, 131",scaleup_generalized_workflow_reaction_class_Bromo_Buchwald-Hartwig_amination_runreaction_class_r14.json,186
Bromo Buchwald-Hartwig amination,reaction_class,3,4,Oxygen-sensitivity leading to variable conversion,"Small changes in dissolved oxygen cause inconsistent conversion or longer reaction times; batches show ""low conversion"" when oxygen is not rigorously excluded.","optimization_of_oxygen_or_gas_enriched_environment, improved_in_process_control_or_analytical_method, change_of_additive - purge reactors with inert gas, use sealed vessels, and monitor O₂ with inline sensors; optionally add oxygen-scavenging additives (e.g., phosphine-oxide scavengers).","A scale-up (200 kg) was performed in a 500 L stainless reactor. Prior to charge, the vessel was sparged three times with nitrogen and then sealed. An inline dissolved-oxygen probe was installed; O₂ was kept <5 ppm. Conversion improved from 70 % (no purge) to >95 % with the purge protocol.",Even trace water can exacerbate oxygen effects; drying solvents and reagents together with O₂ control gives the most robust outcome.,"15963, 10897, 10898, 10899, 10900",scaleup_generalized_workflow_reaction_class_Bromo_Buchwald-Hartwig_amination_runreaction_class_r14.json,186
Bromo Buchwald-Hartwig amination,reaction_class,3,5,Long residence / sluggish conversion,"Reactions require >= 24 h (batch) or > 30 min residence (flow) to reach acceptable conversion, limiting throughput.","hold_time_or_residence_time_optimization, optimization_of_catalyst_loading, change_of_catalyst_or_ligand_identity, optimization_of_reagent_stoichiometry - increase catalyst/ligand loading, switch to a more active Pd-ligand system, raise temperature, or use a more reactive electrophile (e.g., bromide -> iodide) to accelerate the reaction.","A DoE varying catalyst loading (0.2 -> 0.8 mol %), temperature (80 -> 110 °C), and ligand (Xantphos -> tBuXPhos) was performed on the copper-catalysed amination of 6-bromoquinoline. The optimal condition (0.5 mol % Cu, 110 °C, tBuXPhos) reduced reaction time from 48 h to 6 h while maintaining >92 % isolated yield.","When temperature is increased, side-product formation must be monitored; a balance between rate acceleration and impurity control is essential.","9548, 9549, 9545, 9546, 9547",scaleup_generalized_workflow_reaction_class_Bromo_Buchwald-Hartwig_amination_runreaction_class_r14.json,186
Bromo N-alkylation,reaction_class,3,1,Slurry formation,"A thick, heterogeneous slurry or solid precipitate appears during the
reaction (often at reflux or high temperature).","solvent_change_for_solubility, improved_mixing_or_impeller_design,
phase_behavior_or_biphasic_system_optimization,
slurry_handling_or_particle_size_optimization - switching to a
solvent or biphasic system that dissolves the base, or reducing particle
size, restores a single-phase mixture and improves mixing and heat
removal.","Screen a small DoE of solvents (e.g., THF/H₂O, toluene/water, MeCN/H₂O)
and base particle size (200 mesh vs. 325 mesh). Select the combination
that gives a clear homogeneous reaction at the target temperature, then
run a pilot-scale batch with a high-speed impeller (>=300 rpm) and monitor
temperature uniformity and conversion.","Viscosity spikes are especially problematic in refluxing isopropyl-acetate
or high-boiling solvents; a biphasic system also enables easy phase-transfer
catalysis. If slurry persists, consider a pre-dissolved aqueous base
(phase-behavior optimization) before scaling further.","3901, 3900, 4557, 4559, 3546, 183, 184, 185, 12201, 12202",scaleup_generalized_workflow_reaction_class_Bromo_N-alkylation_runreaction_class_r19.json,132
Bromo N-alkylation,reaction_class,3,2,Low conversion / incomplete reaction,"Final assay shows < 90 % conversion or significant residual starting
material after the prescribed reaction time.","optimization_of_reagent_stoichiometry, solvent_change_for_solubility,
change_of_base, optimization_of_acid_or_base_stoichiometry - adjusting
equivalents, selecting a solvent that fully dissolves all components, or
switching to a more soluble inorganic base (e.g., Na₂CO₃, K₃PO₄) restores
complete conversion.","Perform a factorial DoE varying (i) base identity (K₂CO₃, Na₂CO₃, K₃PO₄),
(ii) solvent (acetone, MeCN, DMF, THF/H₂O), and (iii) electrophile
equivalents (1.0-1.3 eq). Measure conversion at the target time; adopt the
optimal set for a kilogram-scale run and verify that residual starting
material falls below 2 %.","When the electrophile is a liquid bromide with limited solubility (e.g.,
t-butyl-2-bromoacetate), co-solvent addition (toluene/H₂O) can dramatically
improve dissolution. Beware of side-reactions introduced by stronger bases;
monitor impurity profiles concurrently.","5452, 5450, 5449, 5448, 5451, 185, 3901, 12204, 18881",scaleup_generalized_workflow_reaction_class_Bromo_N-alkylation_runreaction_class_r19.json,132
Bromo N-alkylation,reaction_class,3,3,Impurity surge at high temperature / concentration,"A specific impurity (e.g., enantiomer, allene, dimer) exceeds its specification
once temperature or reagent concentration is increased.","improved_impurity_purge_or_byproduct_control,
temperature_setpoint_or_temperature_ramp_optimization,
change_of_base, change_of_additive - lowering the temperature setpoint,
optimising the ramp, or switching to a base/additive that suppresses the
side pathway can keep impurity levels below limits.","Run a temperature-profile study (30 °C -> 70 °C) while holding reagent
equivalents constant. Identify the temperature where impurity formation
begins (e.g., > 0.25 % enantiomer). Implement a controlled ramp or
operate at the lower temperature with a slight excess of electrophile to
maintain conversion. Validate on a pilot-scale batch with in-process HPLC.","Impurities often arise from base-promoted elimination (allene) or
phase-transfer-catalyst-mediated over-alkylation. Adding a catalytic
acid (e.g., AcOH 0.25 eq) can suppress dimer formation (see entry 3215).
Monitoring temperature gradients in the reactor is critical to avoid local
hot spots.","11914, 18881, 11915, 11917, 11940",scaleup_generalized_workflow_reaction_class_Bromo_N-alkylation_runreaction_class_r19.json,132
Bromo N-alkylation,reaction_class,3,4,Excess reagent waste / high material cost,"Large excesses of expensive reagents (e.g., bromides, bases, solvents) are
used to achieve target conversion, leading to high raw-material cost and
large waste streams.","optimization_of_reagent_stoichiometry,
replacement_of_costly_or_low_purity_reagent,
replacement_of_unstable_or_impure_reagent - tightening equivalents,
substituting cheaper bromides or bases, or using in-situ generated reagents
reduces cost and waste without sacrificing yield.","Conduct a virtual DoE (or actual DoE) varying bromide equivalents from
1.0 to 1.5 eq and base equivalents from 1.0 to 2.0 eq. Track conversion,
impurity profile, and material cost. Select the minimal excess that still
delivers > 98 % conversion. Where possible, replace expensive bases (e.g.,
Cs₂CO₃) with K₂CO₃ or Na₂CO₃, and replace costly PTCs with catalytic
TBAB.","Cost optimisation must be balanced against impurity control; a slight
excess may be justified if it suppresses a problematic side-product.
Re-evaluate downstream work-up to ensure that reduced excess does not
increase isolation difficulty.","11306, 11913, 11914, 11940",scaleup_generalized_workflow_reaction_class_Bromo_N-alkylation_runreaction_class_r19.json,132
Bromo N-alkylation,reaction_class,3,5,Exotherm / hot-spot formation,"Rapid temperature rise (> 10 °C above setpoint) or uncontrolled exotherm
during reagent addition or reaction progress.","temperature_setpoint_or_temperature_ramp_optimization,
thermal_runaway_mitigation_or_quench_safety_modification,
improved_heat_transfer_or_temperature_control_hardware,
change_of_addition_order_or_feed_profile - controlling addition rate,
using jacketed reactors with efficient heat removal, and implementing
quench-safety steps mitigate the exotherm.","Design a semi-batch addition study: feed the bromide substrate over 30 min
while monitoring reactor temperature with an inline probe. Compare
continuous addition, split-charge, and slow-drip addition. Install a
jacketed reactor with a high-capacity coolant and validate that the
temperature never exceeds the safety limit (e.g., 45 °C). Scale the optimized
addition profile to kilogram scale and confirm reproducible temperature
control.","When CO is used (carbonylation) pressure-related exotherms may also arise;
venting or pressure-control loops are required (see entry 15639). Adding
an external quench (e.g., aqueous Na₂S₂O₃ for CNBr) can also neutralise
heat-generating species.","3549, 11670, 15639, 15640, 15638, 15641, 15642",scaleup_generalized_workflow_reaction_class_Bromo_N-alkylation_runreaction_class_r19.json,132
Bromo Suzuki-type coupling,reaction_class,3,1,Heterogeneous slurry,"A solid base or reagent (e.g., K₂CO₃, CuI, Bpin ester) forms a thick slurry or suspension that is difficult to stir uniformly in batch reactors.","improved_mixing_or_impeller_design, solvent_system_optimization_or_cosolvent_addition, batch_to_flow_or_flow_process_implementation - better agitation, a co-solvent to keep all components in solution, or a flow reactor with static mixers will eliminate the slurry, improve contact and give reproducible conversion.","A DoE screening of impeller type (Rushton vs. pitched-blade) and agitation speed was performed on a 10 L reactor; simultaneously, a 10 % v/v THF co-solvent was added to the DMA/K₂CO₃ system. Parallel runs in a continuous-flow tube with a static-mixing element were also evaluated. The optimal condition (high-speed pitched-blade + 10 % THF) gave quantitative conversion and uniform temperature profiles.","The slurry issue is more pronounced with high-loading inorganic bases; milling the base (as in entry 3942) helps but does not fully solve mass-transfer limits. Switching to a homogeneous base (e.g., Cs₂CO₃) can also be considered if compatible with the substrate.","16564, 3942",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki-type_coupling_runreaction_class_r25.json,88
Bromo Suzuki-type coupling,reaction_class,3,2,Phase-separation bottleneck,"The reaction mixture separates into two immiscible liquid layers (e.g., aqueous/organic) immediately after reagent addition, giving a limited interfacial area and sluggish conversion.","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, phase_behavior_or_biphasic_system_optimization - selecting a single-phase solvent system or adding a miscible co-solvent (e.g., DMA, MeCN) will keep all reagents in one phase and restore mass-transfer efficiency.","A solvent-screening matrix (DMA, MeCN, DMSO, 1,4-dioxane) was performed at 0.5 M substrate concentration. The best performance was achieved with DMA/MeCN (7:3 v/v), which dissolved both the aryl bromide and the aqueous base, eliminating the biphasic barrier and raising isolated yield from 45 % to 82 % on a 20 g scale.","When the reaction must remain biphasic (e.g., for downstream work-up), vigorous stirring and the use of phase-transfer catalysts (e.g., tetrabutylammonium bromide) can mitigate the issue, but a single-phase system is preferred for robustness.","12112, 10525",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki-type_coupling_runreaction_class_r25.json,88
Bromo Suzuki-type coupling,reaction_class,3,3,Temperature spike (exotherm),"During the addition of a reagent (hydrazone, CsOH, or a solid base) the reactor temperature rises abruptly (often > 30 °C above setpoint) and can exceed the catalyst's stability window.","temperature_setpoint_or_temperature_ramp_optimization, thermal_runaway_mitigation_or_quench_safety_modification, improved_heat_transfer_or_temperature_control_hardware, change_of_addition_order_or_feed_profile - controlling the addition rate (syringe pump), pre-cooling the feed, and using a jacketed reactor with efficient cooling will damp the exotherm.","A controlled-feed study was carried out: the hydrazone was delivered over 3 h via a syringe pump into a jacketed 25 L reactor held at 25 °C. An external cooling loop maintained the bulk temperature within ±2 °C. The temperature spike was eliminated, conversion rose to 94 % and no catalyst decomposition was observed.","Even with controlled addition, the presence of gas-evolving bases (Na₂CO₃) can cause pressure rise; coupling the temperature control with venting (pressure-or-gas-headspace optimization) is advisable for very large batches.","12110, 3936, 3943, 19286",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki-type_coupling_runreaction_class_r25.json,88
Bromo Suzuki-type coupling,reaction_class,3,4,Conversion variability,"Identical reaction set-ups give widely different conversions (e.g., 50 %-90 %) when the scale is increased from milligram to gram levels.","optimization_of_catalyst_loading, change_of_catalyst_or_ligand_identity, change_of_primary_reagent, optimization_of_reagent_stoichiometry - fixing a robust catalyst/ligand pair (e.g., ethylene-Rh precursor, t-Bu₂MeP) and defining a narrow loading window removes the source of variability.","A catalyst-loading DoE (0.25 mol % -> 0.75 mol %) was performed on a 5 g scale using the Rh-Segphos system. The ethylene-Rh precursor gave consistent conversion (~80 %) across the loading range, whereas the original RhCl₂ dimer showed > 30 % spread. The optimized loading (0.5 mol %) was adopted for all subsequent scales.","Supplier-to-supplier variability of the aryl bromide (impurities, moisture) can also cause conversion spread; implementing a feedstock variability management protocol (entry 31) further stabilizes the process.","12110, 12113",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki-type_coupling_runreaction_class_r25.json,88
Bromo Suzuki-type coupling,reaction_class,3,5,By-product buildup (impurity surge),"Significant amounts of side-products (e.g., protodesilylation products, dimeric hydrazone adducts, biaryl dimers) appear, lowering isolated yield and complicating purification.","change_of_base, change_of_additive, improved_impurity_purge_or_byproduct_control, solvent_change_to_reduce_side_products - milder bases (NaOt-Bu vs. LiO-t-Bu), additives that suppress side pathways (CuI, water-containing Cs₂CO₃), or solvents that improve substrate stability (MeOH cosolvent) will curb impurity formation.","A systematic base-screen (LiO-t-Bu, NaOt-Bu, Cs₂CO₃.2 H₂O) was conducted for the silanol coupling (entry 10876). NaOt-Bu reduced protodesilylation from 35 % to < 5 % and increased product yield from 42 % to 78 %. Parallel addition of 0.05 equiv CuI further suppressed dimer formation in the Barluenga reaction (entry 3933).","Impurity-control strategies often need to be paired with downstream purification tweaks (e.g., aqueous work-up, crystallization solvent optimization) to achieve the required purity for API intermediates.","3933, 10876, 14366, 3938",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki-type_coupling_runreaction_class_r25.json,88
Bromo Suzuki coupling,reaction_class,3,1,Emulsion / phase-separation failure,"Stable oil-in-water emulsion that does not break on cooling; phase-boundary is fuzzy or ""slurry-to-slurry"" persists.","solvent_change_for_solubility, solvent_system_optimization_or_cosolvent_addition, phase_behavior_or_biphasic_system_optimization, improved_mixing_or_impeller_design, change_of_additive","Screen alternative aqueous/organic solvent systems (e.g., TPGS-750-M + acetone, TL-82 surfactant blend, THF -> toluene) and/or add a low-viscosity cosolvent; evaluate mixing hardware (high-shear homogenizer, overhead stirrer) and quantify phase-clearance time.","The symptom often appears only after scale-up (different vessel geometry, larger volume) even when small-scale screens look clean. Early visual check of the reaction bulk after reagent addition is a cheap diagnostic.","21536, 4456, 17339, 3718, 15619, 4457, 18309",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki_coupling_runreaction_class_r5.json,250
Bromo Suzuki coupling,reaction_class,3,2,Rapid temperature spike / runaway,Temperature jumps > 30 °C within 1-2 min after addition of catalyst or aqueous base; ΔT exceeds solvent boiling point in pilot runs.,"temperature_setpoint_or_temperature_ramp_optimization, improved_heat_transfer_or_temperature_control_hardware, change_of_addition_order_or_feed_profile, pressure_or_gas_headspace_optimization, thermal_runaway_mitigation_or_quench_safety_modification","Perform calorimetry on a small scale to obtain ΔH and adiabatic temperature rise; then implement a staged addition (pre-cool reagents, semi-batch feed) and/or upgrade jacket/heat-exchanger capacity; monitor temperature with fast-response probes.","A modest temperature rise is acceptable; the key is to keep the bulk temperature below the solvent's safe limit and below the decomposition onset of reagents (e.g., DMSO, THF).","4457, 4450, 4457, 4450, 4457, 4450, 4457",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki_coupling_runreaction_class_r5.json,250
Bromo Suzuki coupling,reaction_class,3,3,Precipitation / clogging of reactor,"Formation of solid particles (e.g., black Pd-black, polymeric BBA, inorganic salts) that deposit on walls or block flow channels; visible slurry becomes gritty.","clogging_or_fouling_mitigation, solvent_change_for_solubility, solvent_change_for_safety_or_green_chemistry, phase_behavior_or_biphasic_system_optimization, improved_mixing_or_impeller_design","Test alternative solvents/co-solvents that keep all reagents in solution (e.g., replace 1,4-dioxane with 2-MeTHF, add ethylene glycol to BBA, switch THF -> toluene for aryl chlorides); evaluate filtration or inline solids-removal devices.",Early visual inspection after the first 5 min can reveal precipitation; a quick solubility check of each component at reaction temperature is a preventive step.,"236, 4450, 4450, 4450, 4450, 4450, 4450",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki_coupling_runreaction_class_r5.json,250
Bromo Suzuki coupling,reaction_class,3,4,High residual palladium / metal impurity,Pd measured > 50 ppm (or > 10 ppm for API) after standard work-up; metal-scavenger cartridges give < 70 % removal; chromatography required.,"improved_impurity_purge_or_byproduct_control, change_of_additive, drying_or_isolation_process_optimization, crystallization_solvent_or_antisolvent_optimization, step_reordering_or_telescope_strategy","Introduce a dedicated Pd-scavenging step (e.g., N-acetyl-cysteine aqueous wash, polymer-bound scavenger, metal-chelating resin) and verify removal by ICP-OES; alternatively redesign the sequence to avoid Pd-containing intermediates (telescoping, in-line quench).",The symptom is often discovered only after analytical testing; a quick test strip for Pd can be used on-line to trigger the scavenger step before scale-up.,"4456, 4457, 4450, 4450, 4450, 4450, 4450",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki_coupling_runreaction_class_r5.json,250
Bromo Suzuki coupling,reaction_class,3,5,Variable conversion / catalyst poisoning,"Same recipe gives 40 % conversion on one batch, > 90 % on another; often linked to impurity (sulfur, oxygen) in starting material or to batch-to-batch Pd loading.","change_of_additive, change_of_base, change_of_primary_reagent, optimization_of_catalyst_loading, feedstock_or_supplier_variability_management, tolerance_of_reagent_or_feed_impurities","Perform impurity profiling of raw materials (e.g., sulfur content by elemental analysis); if impurity present, add a scavenger (N-acetyl-cysteine) or switch to a cleaner reagent (e.g., use aryl chloride instead of bromide that carries less sulfur); adjust Pd loading based on impurity level.","Early QC of each lot of electrophile (e.g., check for elemental sulfur) can prevent downstream poisoning; a small ""spike"" test with extra Pd can be used as a diagnostic.","4456, 4457, 4450, 4450, 4450, 4450, 4450",scaleup_generalized_workflow_reaction_class_Bromo_Suzuki_coupling_runreaction_class_r5.json,250
Carbamate Schotten-Baumann,reaction_class,3,1,Salt-laden interphase,"A solid layer of inorganic carbonate/bicarbonate salts accumulates at the organic/aqueous boundary, making phase separation difficult and causing material loss.","solvent_change_for_solubility, optimization_of_acid_or_base_stoichiometry - switching to a solvent that reduces the inorganic salt load (e.g., 2-MeTHF) and lowering the base equivalents (NaHCO₃ 2.5 eq) will keep salts dissolved or in a fine slurry that can be removed cleanly.","A solvent-screen DoE (TBME, 2-MeTHF, MTBE) combined with base-equivalence screening (Na₂CO₃ 1 eq, NaHCO₃ 2.5 eq, no base) was run on a 30 L pilot. The optimal condition (2-MeTHF + NaHCO₃ 2.5 eq) gave a clear phase split and restored the 85 % isolated yield.",The symptom becomes more pronounced when the aqueous phase is highly concentrated (>0.5 M carbonate). Maintaining the aqueous pH near neutral (~8.5) also helps keep salts soluble.,"13564, 1412, 1411, 1413, 1414, 1415",scaleup_generalized_workflow_reaction_class_Carbamate_Schotten-Baumann_runreaction_class_r21.json,121
